names,state,party,district,cid
 Hank Johnson,Georgia,Democrat, District 4,N00027848
 Mike Johnson,Louisiana,Republican, District 4,N00039106
 Ron Johnson,Wisconsin,Republican, Senate,N00032546
 Doug Jones,Alabama,Democrat, Senate,N00024817
 Jim Jordan,Ohio,Republican, District 4,N00027894
 David P Joyce,Ohio,Republican, District 14,N00035007
 John Joyce,Pennsylvania,Republican, District 13,N00043242
 Tim Kaine,Virginia,Democrat, Senate,N00033177
 Marcy Kaptur,Ohio,Democrat, District 9,N00003522
 John Katko,New York,Republican, District 24,N00035934
 Bill Keating,Massachusetts,Democrat, District 9,N00031933
 Fred Keller,Pennsylvania,Republican, District 12,N00044065
 Mark Kelly,Arizona,Democrat, Senate,N00044223
 Mike Kelly,Pennsylvania,Republican, District 16,N00031647
 Robin Kelly,Illinois,Democrat, District 2,N00035215
 Trent Kelly,Mississippi,Republican, District 1,N00037003
 Joe III Kennedy,Massachusetts,Democrat, District 4,N00034044
 John Kennedy,Louisiana,Republican, Senate,N00026823
 Ro Khanna,California,Democrat, District 17,N00026427
 Dan Kildee,Michigan,Democrat, District 5,N00033395
 Derek Kilmer,Washington,Democrat, District 6,N00034453
 Andy Kim,New Jersey,Democrat, District 3,N00041370
 Ron Kind,Wisconsin,Democrat, District 3,N00004403
 Angus King,Maine,Independent, Senate,N00034580
 Pete King,New York,Republican, District 2,N00001193
 Steven A King,Iowa,Republican, District 4,N00025237
 Adam Kinzinger,Illinois,Republican, District 16,N00030667
 Ann Kirkpatrick,Arizona,Democrat, District 2,N00029260
 Amy Klobuchar,Minnesota,Democrat, Senate,N00027500
 Raja Krishnamoorthi,Illinois,Democrat, District 8,N00033240
 Ann Kuster,New Hampshire,Democrat, District 2,N00030875
 David Kustoff,Tennessee,Republican, District 8,N00025445
 Darin LaHood,Illinois,Republican, District 18,N00037031
 Doug LaMalfa,California,Republican, District 1,N00033987
 Conor Lamb,Pennsylvania,Democrat, District 17,N00041870
 Douglas L Lamborn,Colorado,Republican, District 5,N00028133
 Jim Langevin,Rhode Island,Democrat, District 2,N00009724
 James Lankford,Oklahoma,Republican, Senate,N00031129
 Rick Larsen,Washington,Democrat, District 2,N00009759
 John Larson,Connecticut,Democrat, District 1,N00000575
 Bob Latta,Ohio,Republican, District 5,N00012233
 Brenda Lawrence,Michigan,Democrat, District 14,N00034068
 Al Lawson,Florida,Democrat, District 5,N00030642
 Patrick Leahy,Vermont,Democrat, Senate,N00009918
 Barbara Lee,California,Democrat, District 13,N00008046
 Mike Lee,Utah,Republican, Senate,N00031696
 Susie Lee,Nevada,Democrat, District 3,N00037247
 Debbie Lesko,Arizona,Republican, District 8,N00042056
 Andy Levin,Michigan,Democrat, District 9,N00042149
 Mike Levin,California,Democrat, District 49,N00040667
 Ted Lieu,California,Democrat, District 33,N00035825
 Daniel Lipinski,Illinois,Democrat, District 3,N00027239
 David Loebsack,Iowa,Democrat, District 2,N00027741
 Kelly Loeffler,Georgia,Republican, Senate,N00046125
 Zoe Lofgren,California,Democrat, District 19,N00007479
 Billy Long,Missouri,Republican, District 7,N00030676
 Barry Loudermilk,Georgia,Republican, District 11,N00035347
 Alan Lowenthal,California,Democrat, District 47,N00033274
 Nita M Lowey,New York,Democrat, District 17,N00001024
 Frank D Lucas,Oklahoma,Republican, District 3,N00005559
 Blaine Luetkemeyer,Missouri,Republican, District 3,N00030026
 Ben Ray Lujan,New Mexico,Democrat, District 3,N00029562
 Elaine Luria,Virginia,Democrat, District 2,N00042293
 Stephen F Lynch,Massachusetts,Democrat, District 8,N00013855
 Tom Malinowski,New Jersey,Democrat, District 7,N00041843
 Carolyn B Maloney,New York,Democrat, District 12,N00000078
 Sean Patrick Maloney,New York,Democrat, District 18,N00034277
 Joe Manchin,West Virginia,Democrat, Senate,N00032838
 Kenny Marchant,Texas,Republican, District 24,N00026710
 Ed Markey,Massachusetts,Democrat, Senate,N00000270
 Roger Marshall,Kansas,Republican, District 1,N00037034
 Thomas Massie,Kentucky,Republican, District 4,N00034041
 Brian Mast,Florida,Republican, District 18,N00037269
 Catherine Cortez Masto,Nevada,Democrat, Senate,N00037161
 Doris Matsui,California,Democrat, District 6,N00027459
 Ben McAdams,Utah,Democrat, District 4,N00042013
 Lucy McBath,Georgia,Democrat, District 6,N00042813
 Kevin McCarthy,California,Republican, District 23,N00028152
 Michael McCaul,Texas,Republican, District 10,N00026460
 Tom McClintock,California,Republican, District 4,N00006863
 Betty McCollum,Minnesota,Democrat, District 4,N00012942
 Mitch McConnell,Kentucky,Republican, Senate,N00003389
 Donald McEachin,Virginia,Democrat, District 4,N00039327
 James P McGovern,Massachusetts,Democrat, District 2,N00000179
 Patrick McHenry,North Carolina,Republican, District 10,N00026627
 David McKinley,West Virginia,Republican, District 1,N00031681
 Jerry McNerney,California,Democrat, District 9,N00026926
 Martha McSally,Arizona,Republican, Senate,N00033982
 Gregory W Meeks,New York,Democrat, District 5,N00001171
 Robert Menendez,New Jersey,Democrat, Senate,N00000699
