,politician,state,party,district,cid,contributor,individual_amount,PAC_amount,total_amount
298,Steve Cohen,Tennessee,Democrat, District 9,N00003225,Crawford Group,0,9000,9000
299,Steve Cohen,Tennessee,Democrat, District 9,N00003225,National Assn of Realtors,0,8000,8000
300,Doug Collins,Georgia,Republican, District 9,N00033518,Wilheit Packaging,28600,0,28600
301,Doug Collins,Georgia,Republican, District 9,N00033518,Walters Management,23400,0,23400
302,Doug Collins,Georgia,Republican, District 9,N00033518,Worsham Farms,22400,0,22400
303,Doug Collins,Georgia,Republican, District 9,N00033518,GEO Group,11500,10000,21500
304,Doug Collins,Georgia,Republican, District 9,N00033518,Comcast Corp,11105,10000,21105
305,Doug Collins,Georgia,Republican, District 9,N00033518,Fieldale Farms,19400,0,19400
306,Doug Collins,Georgia,Republican, District 9,N00033518,Microsoft Corp,10875,5000,15875
307,Doug Collins,Georgia,Republican, District 9,N00033518,National Music Publishers Assn,4800,10000,14800
308,Doug Collins,Georgia,Republican, District 9,N00033518,Coca-Cola Co,5700,7500,13200
309,Doug Collins,Georgia,Republican, District 9,N00033518,Brent Scarbrough & Co,12200,0,12200
310,Mike Conaway,Texas,Republican, District 11,N00026041,Home Depot,0,10000,10000
311,Mike Conaway,Texas,Republican, District 11,N00026041,M3p Energy                                        ,5600,0,5600
312,Mike Conaway,Texas,Republican, District 11,N00026041,American Assn of Crop Insurers,0,5000,5000
313,Mike Conaway,Texas,Republican, District 11,N00026041,American Bankers Assn,0,5000,5000
314,Mike Conaway,Texas,Republican, District 11,N00026041,AT&T Inc,0,5000,5000
315,Mike Conaway,Texas,Republican, District 11,N00026041,Bayer AG,0,5000,5000
316,Mike Conaway,Texas,Republican, District 11,N00026041,Blue Diamond Growers,0,5000,5000
317,Mike Conaway,Texas,Republican, District 11,N00026041,Boeing Co,0,5000,5000
318,Mike Conaway,Texas,Republican, District 11,N00026041,California Dairies Inc,0,5000,5000
319,Mike Conaway,Texas,Republican, District 11,N00026041,CHS Inc,0,5000,5000
320,Chris Coons,Delaware,Democrat, Senate,N00031820,"Young, Conaway et al                    ",97975,0,97975
321,Chris Coons,Delaware,Democrat, Senate,N00031820,Apollo Global Management,79100,0,79100
322,Chris Coons,Delaware,Democrat, Senate,N00031820,Jane Street Capital                               ,54100,0,54100
323,Chris Coons,Delaware,Democrat, Senate,N00031820,DuPont Co,26777,6000,32777
324,Chris Coons,Delaware,Democrat, Senate,N00031820,Democracy Engine,31500,0,31500
325,Chris Coons,Delaware,Democrat, Senate,N00031820,Amgen Inc,23500,7500,31000
326,Chris Coons,Delaware,Democrat, Senate,N00031820,Centerview Partners,28000,0,28000
327,Chris Coons,Delaware,Democrat, Senate,N00031820,Comcast Corp,17514,10000,27514
328,Chris Coons,Delaware,Democrat, Senate,N00031820,Microsoft Corp,15020,10000,25020
329,Chris Coons,Delaware,Democrat, Senate,N00031820,Grant & Eisenhofer,23500,0,23500
330,Lou Correa,California,Democrat, District 46,N00037260,Masimo Corp,22400,0,22400
331,Lou Correa,California,Democrat, District 46,N00037260,Blue Cross/Blue Shield,6000,10500,16500
332,Lou Correa,California,Democrat, District 46,N00037260,First American Financial Corp,4700,7500,12200
333,Lou Correa,California,Democrat, District 46,N00037260,"Aitken, Aitken & Cohn",11200,0,11200
334,Lou Correa,California,Democrat, District 46,N00037260,Word & Brown,11200,0,11200
335,Lou Correa,California,Democrat, District 46,N00037260,Edwards Lifesciences,500,10000,10500
336,Lou Correa,California,Democrat, District 46,N00037260,National Assn of Realtors,25,10000,10025
337,Lou Correa,California,Democrat, District 46,N00037260,American Bankers Assn,0,10000,10000
338,Lou Correa,California,Democrat, District 46,N00037260,American Crystal Sugar,0,10000,10000
339,Lou Correa,California,Democrat, District 46,N00037260,American Hotel & Lodging Assn,0,10000,10000
340,Joe Courtney,Connecticut,Democrat, District 2,N00024842,General Dynamics,29355,10000,39355
341,Joe Courtney,Connecticut,Democrat, District 2,N00024842,Raytheon Technologies,0,18000,18000
342,Joe Courtney,Connecticut,Democrat, District 2,N00024842,Massachusetts Mutual Life Insurance     ,5400,10000,15400
343,Joe Courtney,Connecticut,Democrat, District 2,N00024842,Seafarers International Union,0,11000,11000
344,Joe Courtney,Connecticut,Democrat, District 2,N00024842,Northrop Grumman,975,10000,10975
345,Joe Courtney,Connecticut,Democrat, District 2,N00024842,Cigna Corp,575,10000,10575
346,Joe Courtney,Connecticut,Democrat, District 2,N00024842,Air Line Pilots Assn,0,10000,10000
347,Joe Courtney,Connecticut,Democrat, District 2,N00024842,American Crystal Sugar,0,10000,10000
348,Joe Courtney,Connecticut,Democrat, District 2,N00024842,American Federation of Teachers,0,10000,10000
349,Joe Courtney,Connecticut,Democrat, District 2,N00024842,Bechtel Group,0,10000,10000
350,Kevin Cramer,North Dakota,Republican, Senate,N00004614,Cloud Peak Energy,0,10000,10000
351,Kevin Cramer,North Dakota,Republican, Senate,N00004614,UBS AG,0,10000,10000
352,Kevin Cramer,North Dakota,Republican, Senate,N00004614,Pfizer Inc,0,6000,6000
353,Kevin Cramer,North Dakota,Republican, Senate,N00004614,M International,5600,0,5600
354,Kevin Cramer,North Dakota,Republican, Senate,N00004614,Reliance Telephone,5600,0,5600
355,Kevin Cramer,North Dakota,Republican, Senate,N00004614,Gray Television,5200,0,5200
356,Kevin Cramer,North Dakota,Republican, Senate,N00004614,Crop Insurance Professionals Assn,0,5000,5000
357,Kevin Cramer,North Dakota,Republican, Senate,N00004614,SpaceX,0,5000,5000
358,Kevin Cramer,North Dakota,Republican, Senate,N00004614,United Mine Workers of America,0,5000,5000
359,Kevin Cramer,North Dakota,Republican, Senate,N00004614,Exelon Corp,0,4500,4500
360,Dan Crenshaw,Texas,Republican, District 2,N00042224,Ilan Investments,25950,0,25950
361,Dan Crenshaw,Texas,Republican, District 2,N00042224,NorPAC,25250,0,25250
362,Dan Crenshaw,Texas,Republican, District 2,N00042224,Lodge Lumber,21948,0,21948
363,Dan Crenshaw,Texas,Republican, District 2,N00042224,Enterprise Products Partners,16662,4800,21462
364,Dan Crenshaw,Texas,Republican, District 2,N00042224,Kirkland & Ellis,20900,0,20900
365,Dan Crenshaw,Texas,Republican, District 2,N00042224,Valero Energy,9700,10000,19700
366,Dan Crenshaw,Texas,Republican, District 2,N00042224,Chevron Corp,6824,12500,19324
367,Dan Crenshaw,Texas,Republican, District 2,N00042224,Exxon Mobil,11380,6500,17880
368,Dan Crenshaw,Texas,Republican, District 2,N00042224,Edgewood Management,17300,0,17300
369,Dan Crenshaw,Texas,Republican, District 2,N00042224,S&B Engineers & Constructors,12100,5000,17100
370,Ted Cruz,Texas,Republican, Senate,N00033085,Bluewater International                           ,16800,0,16800
371,Ted Cruz,Texas,Republican, Senate,N00033085,Doggett Industries                                ,16800,0,16800
372,Ted Cruz,Texas,Republican, Senate,N00033085,Hilcorp Energy,15100,0,15100
373,Ted Cruz,Texas,Republican, Senate,N00033085,Boeing Co,6652,5000,11652
374,Ted Cruz,Texas,Republican, Senate,N00033085,Lodge Lumber,11650,0,11650
375,Ted Cruz,Texas,Republican, Senate,N00033085,Southwest Airlines Pilots Assn,0,11500,11500
376,Ted Cruz,Texas,Republican, Senate,N00033085,Carnival Corp                           ,11220,0,11220
377,Ted Cruz,Texas,Republican, Senate,N00033085,ALLCare Alliance Group,11200,0,11200
378,Ted Cruz,Texas,Republican, Senate,N00033085,Apollo Global Management,11200,0,11200
379,Ted Cruz,Texas,Republican, Senate,N00033085,Ariel Corp,11200,0,11200
380,John Curtis,Utah,Republican, District 3,N00041221,Doterra International,13500,0,13500
381,John Curtis,Utah,Republican, District 3,N00041221,Tosh Inc,12400,0,12400
382,John Curtis,Utah,Republican, District 3,N00041221,Medquest Pharmacy,12200,0,12200
383,John Curtis,Utah,Republican, District 3,N00041221,Do Terra,11750,0,11750
384,John Curtis,Utah,Republican, District 3,N00041221,Comcast Corp,1500,10000,11500
385,John Curtis,Utah,Republican, District 3,N00041221,4Life Research,11200,0,11200
386,John Curtis,Utah,Republican, District 3,N00041221,Clarke Capital Partners,11200,0,11200
387,John Curtis,Utah,Republican, District 3,N00041221,Laura & John Arnold Foundation,11200,0,11200
388,John Curtis,Utah,Republican, District 3,N00041221,Qualtrics Inc,11200,0,11200
389,John Curtis,Utah,Republican, District 3,N00041221,Alphabet Inc,500,10000,10500
390,Warren Davidson,Ohio,Republican, District 8,N00038767,Entertrainment Junction,11200,0,11200
391,Warren Davidson,Ohio,Republican, District 8,N00038767,House Freedom Fund,600,10000,10600
392,Warren Davidson,Ohio,Republican, District 8,N00038767,American Bankers Assn,0,10000,10000
393,Warren Davidson,Ohio,Republican, District 8,N00038767,American Institute of CPAs,0,10000,10000
394,Warren Davidson,Ohio,Republican, District 8,N00038767,Koch Industries,0,10000,10000
395,Warren Davidson,Ohio,Republican, District 8,N00038767,Majority Cmte PAC,0,10000,10000
396,Warren Davidson,Ohio,Republican, District 8,N00038767,Mortgage Bankers Assn,0,10000,10000
397,Warren Davidson,Ohio,Republican, District 8,N00038767,National Assn of Insurance & Financial Advisors,0,10000,10000
398,Warren Davidson,Ohio,Republican, District 8,N00038767,National Assn of Realtors,0,10000,10000
399,Warren Davidson,Ohio,Republican, District 8,N00038767,National Auto Dealers Assn,0,10000,10000
400,Susan Davis,California,Democrat, District 53,N00009604,American Assn for Justice,0,5000,5000
401,Susan Davis,California,Democrat, District 53,N00009604,American Federation of Teachers,0,5000,5000
402,Susan Davis,California,Democrat, District 53,N00009604,Cubic Corp,0,5000,5000
403,Susan Davis,California,Democrat, District 53,N00009604,National Assn of Letter Carriers,0,5000,5000
404,Susan Davis,California,Democrat, District 53,N00009604,Northrop Grumman,0,5000,5000
405,Susan Davis,California,Democrat, District 53,N00009604,"Sheet Metal, Air, Rail & Transportation Union",0,5000,5000
406,Susan Davis,California,Democrat, District 53,N00009604,Honeywell International,0,3500,3500
407,Susan Davis,California,Democrat, District 53,N00009604,Leidos Inc,0,3000,3000
408,Susan Davis,California,Democrat, District 53,N00009604,Union of Pan Asian Communities,2800,0,2800
409,Susan Davis,California,Democrat, District 53,N00009604,American Society of Travel Advisors,0,2500,2500
410,Diana DeGette,Colorado,Democrat, District 1,N00006134,Medquest Pharmacy,18800,0,18800
411,Diana DeGette,Colorado,Democrat, District 1,N00006134,Alphabet Inc,11651,5000,16651
412,Diana DeGette,Colorado,Democrat, District 1,N00006134,DISH Network,11200,3800,15000
413,Diana DeGette,Colorado,Democrat, District 1,N00006134,"Kleiner, Perkins et al",14000,0,14000
414,Diana DeGette,Colorado,Democrat, District 1,N00006134,"Brownstein, Hyatt et al",13843,0,13843
415,Diana DeGette,Colorado,Democrat, District 1,N00006134,Sawaya Law Firm,11300,0,11300
416,Diana DeGette,Colorado,Democrat, District 1,N00006134,Pisces Inc,11200,0,11200
417,Diana DeGette,Colorado,Democrat, District 1,N00006134,Woodbranch Investments,11200,0,11200
418,Diana DeGette,Colorado,Democrat, District 1,N00006134,Leaffer Law Group,11000,0,11000
419,Diana DeGette,Colorado,Democrat, District 1,N00006134,COUNCIL TREE COMMUNICATIONS,10800,0,10800
420,Antonio Delgado,New York,Democrat, District 19,N00040741,"Akin, Gump et al",99886,0,99886
421,Antonio Delgado,New York,Democrat, District 19,N00040741,Democracy Engine,70975,0,70975
422,Antonio Delgado,New York,Democrat, District 19,N00040741,Alphabet Inc,31689,0,31689
423,Antonio Delgado,New York,Democrat, District 19,N00040741,"Paul, Weiss et al",28712,0,28712
424,Antonio Delgado,New York,Democrat, District 19,N00040741,Goldman Sachs,28283,0,28283
425,Antonio Delgado,New York,Democrat, District 19,N00040741,League of Conservation Voters,18300,9472,27772
426,Antonio Delgado,New York,Democrat, District 19,N00040741,City University of New York,27085,0,27085
427,Antonio Delgado,New York,Democrat, District 19,N00040741,Bard College,23541,0,23541
428,Antonio Delgado,New York,Democrat, District 19,N00040741,Prime Clerk,22675,0,22675
429,Antonio Delgado,New York,Democrat, District 19,N00040741,Covington & Burling,20655,1000,21655
430,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,House Freedom Fund,11200,10000,21200
431,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,Walker Die Casting,16800,0,16800
432,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,American Development Corp,15800,0,15800
433,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,Majority Cmte PAC,0,10000,10000
434,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,National Auto Dealers Assn,0,10000,10000
435,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,McKee Foods,8100,0,8100
436,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,National Assn of Realtors,0,6000,6000
437,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,Cardin Forest Products,5600,0,5600
438,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,Healthmark Ventures,5600,0,5600
439,Scott Desjarlais,Tennessee,Republican, District 4,N00030957,Pilot Corp,5600,0,5600
440,Debbie Dingell,Michigan,Democrat, District 12,N00036149,University of Michigan,33423,0,33423
441,Debbie Dingell,Michigan,Democrat, District 12,N00036149,Ford Motor Co,15975,10000,25975
442,Debbie Dingell,Michigan,Democrat, District 12,N00036149,Service Employees International Union,10025,10000,20025
443,Debbie Dingell,Michigan,Democrat, District 12,N00036149,National Assn of Broadcasters,4250,10000,14250
444,Debbie Dingell,Michigan,Democrat, District 12,N00036149,Boeing Co,2600,10000,12600
445,Debbie Dingell,Michigan,Democrat, District 12,N00036149,Blue Cross/Blue Shield,2245,10000,12245
446,Debbie Dingell,Michigan,Democrat, District 12,N00036149,CMS Energy,1500,10000,11500
447,Debbie Dingell,Michigan,Democrat, District 12,N00036149,BASF SE,845,10000,10845
448,Debbie Dingell,Michigan,Democrat, District 12,N00036149,PG&E Corp,8200,2500,10700
449,Debbie Dingell,Michigan,Democrat, District 12,N00036149,General Motors,543,10000,10543
450,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,AAR Corp,11300,5500,16800
451,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,Select Medical Holdings,5678,5000,10678
452,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,Bucher Medical Services,10100,0,10100
453,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,Honeywell International,95,10000,10095
454,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,American Orthotic & Prosthetic Assn,0,10000,10000
455,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,Great Lakes PAC,0,10000,10000
456,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,Prairie PAC,0,10000,10000
457,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,University of Illinois,9899,0,9899
458,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,Berkshire Hathaway,284,7500,7784
459,Tammy Duckworth,Illinois,Democrat, Senate,N00027860,NextEra Energy,0,7500,7500
460,Dick Durbin,Illinois,Democrat, Senate,N00004981,State of Illinois,62060,0,62060
461,Dick Durbin,Illinois,Democrat, Senate,N00004981,Power Rogers LLP,56066,0,56066
462,Dick Durbin,Illinois,Democrat, Senate,N00004981,Votesane PAC,50600,0,50600
463,Dick Durbin,Illinois,Democrat, Senate,N00004981,United Airlines Holdings,39281,8000,47281
464,Dick Durbin,Illinois,Democrat, Senate,N00004981,Kirkland & Ellis,45706,0,45706
465,Dick Durbin,Illinois,Democrat, Senate,N00004981,Simmons Hanly Conroy,42750,0,42750
466,Dick Durbin,Illinois,Democrat, Senate,N00004981,Jenner & Block,36448,0,36448
467,Dick Durbin,Illinois,Democrat, Senate,N00004981,GCM Grosvenor,35800,0,35800
468,Dick Durbin,Illinois,Democrat, Senate,N00004981,General Dynamics,23675,9000,32675
469,Dick Durbin,Illinois,Democrat, Senate,N00004981,AAR Corp,27649,4400,32049
470,Mike Enzi,Wyoming,Republican, Senate,N00006249,Cloud Peak Energy,0,10000,10000
471,Mike Enzi,Wyoming,Republican, Senate,N00006249,Believe In America PAC                            ,0,5600,5600
472,Mike Enzi,Wyoming,Republican, Senate,N00006249,American Assn of Clinical Urologists,0,5000,5000
473,Mike Enzi,Wyoming,Republican, Senate,N00006249,American Osteopathic Assn,0,5000,5000
474,Mike Enzi,Wyoming,Republican, Senate,N00006249,American Trucking Assns,0,5000,5000
475,Mike Enzi,Wyoming,Republican, Senate,N00006249,Exxon Mobil,0,5000,5000
476,Mike Enzi,Wyoming,Republican, Senate,N00006249,Halliburton Co,0,5000,5000
477,Mike Enzi,Wyoming,Republican, Senate,N00006249,"Jobs, Opportunity & New Ideas PAC",0,5000,5000
478,Mike Enzi,Wyoming,Republican, Senate,N00006249,Merck & Co,0,5000,5000
479,Mike Enzi,Wyoming,Republican, Senate,N00006249,National Rural Electric Cooperative Assn,0,5000,5000
480,Anna Eshoo,California,Democrat, District 18,N00007335,Ascend Clinical LLC,100800,0,100800
481,Anna Eshoo,California,Democrat, District 18,N00007335,"Kleiner, Perkins et al",28000,0,28000
482,Anna Eshoo,California,Democrat, District 18,N00007335,Intuit Inc,21800,2500,24300
483,Anna Eshoo,California,Democrat, District 18,N00007335,Alphabet Inc,12026,10000,22026
484,Anna Eshoo,California,Democrat, District 18,N00007335,Deutsche Telekom,7000,14500,21500
485,Anna Eshoo,California,Democrat, District 18,N00007335,Motley Rice LLC,18600,0,18600
486,Anna Eshoo,California,Democrat, District 18,N00007335,Blue Cross/Blue Shield,0,16000,16000
487,Anna Eshoo,California,Democrat, District 18,N00007335,Gilead Sciences,5000,11000,16000
488,Anna Eshoo,California,Democrat, District 18,N00007335,Pfizer Inc                              ,500,12000,12500
489,Anna Eshoo,California,Democrat, District 18,N00007335,Cisco Systems,8550,3000,11550
490,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,Blue Cross/Blue Shield,5525,12500,18025
491,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,Service Employees International Union,9700,7500,17200
492,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,Comcast Corp,1000,10000,11000
493,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,American Federation of State/Cnty/Munic Employees,0,10000,10000
494,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,Carpenters & Joiners Union,0,10000,10000
495,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,Communications Workers of America,0,10000,10000
496,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,Home Depot,0,10000,10000
497,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,Machinists/Aerospace Workers Union,0,10000,10000
498,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,Massachusetts Mutual Life Insurance,0,10000,10000
499,Dwight Evans,Pennsylvania,Democrat, District 3,N00038450,National Assn of Realtors,0,10000,10000
500,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,Emily's List,67489,10000,77489
501,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,Democracy Engine,35225,0,35225
502,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,Walt Disney Co                          ,30766,0,30766
503,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,United for A Strong America,17633,10000,27633
504,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,Centene Corp,20908,5000,25908
505,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,Girardi & Keese,25850,0,25850
506,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,Essex Meadows,24300,0,24300
507,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,University of Iowa,23752,0,23752
508,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,University of California                ,23217,0,23217
509,Abby Finkenauer,Iowa,Democrat, District 1,N00040888,Alphabet Inc,20523,1000,21523
510,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,McKee Foods,29325,0,29325
511,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,Wright Brothers Construction,17200,0,17200
512,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,FedEx Corp,5600,10000,15600
513,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,Bechtel Group,11200,2500,13700
514,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,Leidos Inc,3000,10000,13000
515,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,Protection Strategies,12700,0,12700
516,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,M&M Industries,11200,0,11200
517,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,Lockheed Martin,1000,10000,11000
518,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,Analysis & Measurement Services,10800,0,10800
519,Chuck Fleischmann,Tennessee,Republican, District 3,N00030815,Deroyal Industries,10800,0,10800
520,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,Tenaska Energy,16600,4000,20600
521,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,Madison Dearborn Partners,14000,0,14000
522,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,Blue Cross/Blue Shield,2800,10000,12800
523,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,Sandhills Global,11200,0,11200
524,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,Practice Management of America,10400,0,10400
525,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,Raytheon Technologies,25,10000,10025
526,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,Altria Group,0,10000,10000
527,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,American Bankers Assn,0,10000,10000
528,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,American Crystal Sugar,0,10000,10000
529,Jeff Fortenberry,Nebraska,Republican, District 1,N00026631,Deloitte LLP,0,10000,10000
530,Lois J Frankel,Florida,Democrat, District 21,N00002893,Southern Glazer's Wine & Spirits                  ,22400,5000,27400
531,Lois J Frankel,Florida,Democrat, District 21,N00002893,Fanjul Corp,22400,0,22400
532,Lois J Frankel,Florida,Democrat, District 21,N00002893,Pro-israel America PAC,17800,2000,19800
533,Lois J Frankel,Florida,Democrat, District 21,N00002893,Tate Development,14000,0,14000
534,Lois J Frankel,Florida,Democrat, District 21,N00002893,Therapeutics MD,13900,0,13900
535,Lois J Frankel,Florida,Democrat, District 21,N00002893,Beach Point Capital Management,11200,0,11200
536,Lois J Frankel,Florida,Democrat, District 21,N00002893,Greenstreet Partners,11200,0,11200
537,Lois J Frankel,Florida,Democrat, District 21,N00002893,Prospect Hotel Advisors,11200,0,11200
538,Lois J Frankel,Florida,Democrat, District 21,N00002893,International Brotherhood of Electrical Workers,500,10000,10500
539,Lois J Frankel,Florida,Democrat, District 21,N00002893,American Assn for Justice,250,10000,10250
540,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,Deshpande Inc,16400,0,16400
541,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,Children's Dentistry,5400,0,5400
542,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,University of Texas,2054,0,2054
543,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,Archer Daniels Midland,2000,0,2000
544,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,Blue Owl LLC,2000,0,2000
545,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,Buffalo Niagara Retina,2000,0,2000
546,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,Chappelle Development Co,1000,0,1000
547,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,Hemic,1000,0,1000
548,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,Intel Corp,655,0,655
549,Tulsi Gabbard,Hawaii,Democrat, District 2,N00033281,First Coast Cardiovascular Institute,600,0,600
550,Ruben Gallego,Arizona,Democrat, District 7,N00036097,Poet LLC,10000,10000,20000
551,Ruben Gallego,Arizona,Democrat, District 7,N00036097,Riester Advertising,14000,0,14000
552,Ruben Gallego,Arizona,Democrat, District 7,N00036097,Raytheon Technologies,320,12500,12820
553,Ruben Gallego,Arizona,Democrat, District 7,N00036097,International Brotherhood of Electrical Workers,2520,10000,12520
554,Ruben Gallego,Arizona,Democrat, District 7,N00036097,JUUL Labs,10600,1000,11600
555,Ruben Gallego,Arizona,Democrat, District 7,N00036097,"Sheet Metal, Air, Rail & Transportation Union",0,11000,11000
556,Ruben Gallego,Arizona,Democrat, District 7,N00036097,UNITE HERE,622,10000,10622
557,Ruben Gallego,Arizona,Democrat, District 7,N00036097,Fay Law Group,10600,0,10600
558,Ruben Gallego,Arizona,Democrat, District 7,N00036097,Cigna Corp,555,10000,10555
559,Ruben Gallego,Arizona,Democrat, District 7,N00036097,Pinnacle West Capital,406,10000,10406
560,Mike Garcia,California,Republican, District 25,N00044298,Club for Growth,45976,0,45976
561,Mike Garcia,California,Republican, District 25,N00044298,Raytheon Technologies,16126,20000,36126
562,Mike Garcia,California,Republican, District 25,N00044298,C&R Molding                                       ,33600,0,33600
563,Mike Garcia,California,Republican, District 25,N00044298,Supporting Electing American Leaders,0,25000,25000
564,Mike Garcia,California,Republican, District 25,N00044298,Harris Farms,23776,0,23776
565,Mike Garcia,California,Republican, District 25,N00044298,Northwest Excavating,22400,0,22400
566,Mike Garcia,California,Republican, District 25,N00044298,Santa Clarita Studios,22400,0,22400
567,Mike Garcia,California,Republican, District 25,N00044298,Park Place Group,21400,0,21400
568,Mike Garcia,California,Republican, District 25,N00044298,General Atomics,5633,15000,20633
569,Mike Garcia,California,Republican, District 25,N00044298,Majority Cmte PAC,0,20000,20000
570,Greg Gianforte,Montana,Republican, District 1,N00040733,Boich Companies,11200,0,11200
571,Greg Gianforte,Montana,Republican, District 1,N00040733,American Crystal Sugar,0,10000,10000
572,Greg Gianforte,Montana,Republican, District 1,N00040733,Koch Industries,0,10000,10000
573,Greg Gianforte,Montana,Republican, District 1,N00040733,National Rural Electric Cooperative Assn,0,9000,9000
574,Greg Gianforte,Montana,Republican, District 1,N00040733,Bk2 Holdings,5600,0,5600
575,Greg Gianforte,Montana,Republican, District 1,N00040733,Craig Realty Group,5600,0,5600
576,Greg Gianforte,Montana,Republican, District 1,N00040733,Mountaire Corp,5600,0,5600
577,Greg Gianforte,Montana,Republican, District 1,N00040733,Senegence International,5600,0,5600
578,Greg Gianforte,Montana,Republican, District 1,N00040733,Show Me Institute,5115,0,5115
579,Greg Gianforte,Montana,Republican, District 1,N00040733,American Bankers Assn,0,5000,5000
580,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,House Freedom Fund,0,10000,10000
581,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,Majority Cmte PAC,0,10000,10000
582,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,Protecting Integrity & Truth Together PAC,0,9766,9766
583,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,National Assn of Realtors,0,6000,6000
584,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,Bracken Resources,5600,0,5600
585,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,Brannon Ventures LLC                              ,5600,0,5600
586,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,Monolithic Power Systems,5600,0,5600
587,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,Texas Timberjack,5500,0,5500
588,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,Community Antenna Service,5400,0,5400
589,Louis B Jr Gohmert,Texas,Republican, District 1,N00026148,Texas Farm Bureau,0,5057,5057
590,Anthony Gonzalez,Ohio,Republican, District 16,N00041690,Blackstone Group,23600,0,23600
591,Anthony Gonzalez,Ohio,Republican, District 16,N00041690,JM Smucker Co,15400,5600,21000
592,Anthony Gonzalez,Ohio,Republican, District 16,N00041690,FirstEnergy Corp,10600,10000,20600
593,Anthony Gonzalez,Ohio,Republican, District 16,N00041690,Timken Co,9900,10000,19900
594,Anthony Gonzalez,Ohio,Republican, District 16,N00041690,CGCN Group,12200,5600,17800
